23:42:48:935 [ALWAYS]	GUDE Logging Started
23:42:48:935 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
23:42:48:935 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
23:42:48:935 [ERROR]	Initialize resume cache pointer failure
23:42:48:935 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
23:42:48:935 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
23:42:54:979 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
23:42:54:980 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
23:42:54:980 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
23:42:54:980 [ERROR]	Initialize resume cache pointer failure
23:42:54:980 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
23:42:54:980 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
